pix,n_cw,n,n_ccw,cw_fraction,sigma_from_half
26893,28,61,33,0.45901639344262296,-0.6401843996644799
26894,42,81,39,0.5185185185185185,0.3333333333333333
26895,37,76,39,0.4868421052631579,-0.22941573387056174
26896,42,81,39,0.5185185185185185,0.3333333333333333
26897,56,120,64,0.4666666666666667,-0.7302967433402214
26898,20,52,32,0.38461538461538464,-1.6641005886756874
26899,33,71,38,0.4647887323943662,-0.5933908290969266
26902,36,71,35,0.5070422535211268,0.11867816581938533
26903,71,148,77,0.4797297297297297,-0.4931969619160719
26904,37,72,35,0.5138888888888888,0.23570226039551587
26905,53,86,33,0.6162790697674418,2.156655464068768
26906,28,50,22,0.56,0.848528137423857
26907,33,68,35,0.4852941176470588,-0.24253562503633297
26908,34,61,27,0.5573770491803278,0.8962581595302719
26909,35,71,36,0.49295774647887325,-0.11867816581938533
26910,31,67,36,0.4626865671641791,-0.6108472217815261
26911,30,67,37,0.44776119402985076,-0.8551861104941365
26913,46,77,31,0.5974025974025974,1.709408646894569
26914,32,85,53,0.3764705882352941,-2.27776980709589
26971,31,58,27,0.5344827586206896,0.5252257314388902
26972,27,75,48,0.36,-2.424871130596428
26973,38,67,29,0.5671641791044776,1.099524999206747
26975,20,50,30,0.4,-1.414213562373095
26976,45,76,31,0.5921052631578947,1.6059101370939322
26978,37,61,24,0.6065573770491803,1.6644794391276478
26979,51,90,39,0.5666666666666667,1.2649110640673518
26980,34,74,40,0.4594594594594595,-0.6974858324629157
26981,56,103,47,0.5436893203883495,0.8867963503478639
26982,41,67,26,0.6119402985074627,1.8325416653445783
26983,45,94,49,0.4787234042553192,-0.41256849850351734
26985,60,109,49,0.5504587155963303,1.0536089137432665
26986,63,138,75,0.45652173913043476,-1.0215078369104984
26987,32,58,26,0.5517241379310345,0.7878385971583353
26994,30,57,27,0.5263157894736842,0.39735970711951313
26995,30,62,32,0.4838709677419355,-0.254000254000381
26996,43,83,40,0.5180722891566265,0.329292779969071
26998,30,51,21,0.5882352941176471,1.2602520756252087
27010,28,62,34,0.45161290322580644,-0.762000762001143
27028,35,77,42,0.45454545454545453,-0.7977240352174656
27029,31,76,45,0.40789473684210525,-1.6059101370939322
27030,36,84,48,0.42857142857142855,-1.3093073414159544
27031,40,78,38,0.5128205128205128,0.22645540682891913
27032,57,100,43,0.57,1.4
